,Date,Confirmed_1,Discharges_1,LocalTransmission_1
395,2/28/2021,-1.0,-6.0,1.0
396,3/1/2021,1.0,0.0,-1.0
397,3/2/2021,-4.0,5.0,0.0
398,3/3/2021,15.0,-5.0,2.0
399,3/4/2021,-4.0,1.0,-1.0
400,3/5/2021,-10.0,5.0,-1.0
401,3/6/2021,4.0,-4.0,1.0
402,3/7/2021,0.0,6.0,-1.0
403,3/8/2021,0.0,-9.0,0.0
404,3/9/2021,-7.0,-1.0,0.0
405,3/10/2021,4.0,1.0,0.0
406,3/11/2021,-2.0,22.0,1.0
407,3/12/2021,2.0,-17.0,0.0
408,3/13/2021,-2.0,0.0,-1.0
409,3/14/2021,9.0,-4.0,0.0
410,3/15/2021,-5.0,-1.0,0.0
411,3/16/2021,-1.0,4.0,0.0
412,3/17/2021,-2.0,7.0,0.0
413,3/18/2021,6.0,-4.0,0.0
414,3/19/2021,0.0,-8.0,0.0
415,3/20/2021,2.0,-2.0,0.0
416,3/21/2021,-5.0,13.0,0.0
417,3/22/2021,0.0,-3.0,0.0
418,3/23/2021,1.0,-1.0,0.0
419,3/24/2021,2.0,3.0,0.0
420,3/25/2021,2.0,-7.0,0.0
421,3/26/2021,-5.0,9.0,1.0
422,3/27/2021,11.0,-7.0,0.0
423,3/28/2021,-11.0,-1.0,-1.0
424,3/29/2021,9.0,0.0,0.0
425,3/30/2021,5.0,-2.0,0.0
426,3/31/2021,8.0,4.0,1.0
427,4/1/2021,-8.0,1.0,-1.0
428,4/2/2021,17.0,3.0,0.0
429,4/3/2021,-25.0,-6.0,1.0
430,4/4/2021,-8.0,8.0,-1.0
431,4/5/2021,7.0,-5.0,0.0
432,4/6/2021,7.0,13.0,0.0
433,4/7/2021,11.0,-4.0,1.0
434,4/8/2021,-14.0,3.0,-1.0
435,4/9/2021,5.0,-4.0,0.0
436,4/10/2021,6.0,-2.0,1.0
437,4/11/2021,-12.0,-5.0,0.0
438,4/12/2021,5.0,9.0,-1.0
439,4/13/2021,-11.0,-5.0,0.0
440,4/14/2021,13.0,1.0,1.0
441,4/15/2021,-11.0,7.0,-1.0
442,4/16/2021,18.0,4.0,2.0
443,4/17/2021,5.0,-12.0,2.0
444,4/18/2021,-16.0,5.0,-3.0
445,4/19/2021,-3.0,-4.0,0.0
446,4/20/2021,-6.0,19.0,0.0
447,4/21/2021,1.0,-1.0,0.0
448,4/22/2021,9.0,-9.0,1.0
449,4/23/2021,15.0,-17.0,1.0
450,4/24/2021,-16.0,6.0,2.0
451,4/25/2021,17.0,17.0,-5.0
452,4/26/2021,5.0,-13.0,2.0
453,4/27/2021,-33.0,2.0,-1.0
454,4/28/2021,11.0,-8.0,2.0
455,4/29/2021,12.0,6.0,13.0
456,4/30/2021,-11.0,-7.0,-7.0
457,5/1/2021,10.0,1.0,0.0
458,5/2/2021,5.0,7.0,5.0
459,5/3/2021,-22.0,-1.0,-4.0
460,5/4/2021,0.0,-3.0,-5.0
461,5/5/2021,-1.0,4.0,-4.0
462,5/6/2021,2.0,8.0,1.0
463,5/7/2021,7.0,4.0,2.0
464,5/8/2021,-5.0,-27.0,3.0
465,5/9/2021,8.0,15.0,3.0
466,5/10/2021,-9.0,-1.0,-7.0
467,5/11/2021,6.0,2.0,10.0
468,5/12/2021,-9.0,9.0,-3.0
469,5/13/2021,18.0,-8.0,14.0
470,5/14/2021,18.0,-5.0,0.0
471,5/15/2021,-21.0,-3.0,-5.0
472,5/16/2021,18.0,27.0,19.0
473,5/17/2021,-21.0,-23.0,-17.0
474,5/18/2021,10.0,-8.0,6.0
475,5/19/2021,0.0,38.0,7.0
